EAR,EAR_asym,MAR,BROW,PITCH,label
0.1921847992631987,0.01941086329309566,0.00672367419156737,0.18884025109672178,161.80503275684157,1
0.21487191066060063,0.0042710008596954785,0.007067187365715236,0.18540776921655502,161.38799435296593,1
0.21524666863857145,0.051828836864123456,0.0076454355554464075,0.18275235888256752,162.13585554138353,1
0.18984488229441526,0.07586523583914542,0.006487028444299064,0.18410199273562464,162.32820841256753,1
0.21435811829040308,0.04086858097991988,0.007891417235939535,0.18152658600070617,161.08518618303455,1
0.21464070940762953,0.004797367414434844,0.004439009464685903,0.1828536818251882,161.42357545001363,1
0.21086613640154683,0.028862873320006643,0.006535540485274426,0.1821606926894887,161.4567944299257,1
0.2104865484953459,0.03644963128778195,0.005175865193001373,0.18361616573576484,163.01385729437123,1
0.18741968698819395,0.026527861213861248,0.004958276903236198,0.19178365221667765,163.18618020563838,1
0.13851064898303617,0.01952302465840869,0.006084779955221055,0.1932279033165825,162.77573811507042,1
0.21299860776819549,0.03552919137455529,0.005543596845626424,0.18041164470145948,164.76906505309412,1
0.1899641596456781,0.12532414229628033,0.008353476663148195,0.18466247445652878,162.91465522223083,1
0.21788667588536678,0.08037001615251699,0.004927866641775933,0.18235890676292008,161.81892205809274,1
0.20962120385676453,0.0754572905029802,0.007895862085717457,0.1825235154471683,159.32378474653535,1
0.21951428029972475,0.05453776118472925,0.007680109681691136,0.17990704684632566,162.14803725539062,1
0.2137507303078845,0.03943655181095418,0.005461254140921131,0.18067207729018933,163.55946610877828,1
0.2115961506726212,0.023403925095626943,0.006345128295202526,0.18174195807700458,160.80455826501694,1
0.19434358175819366,0.0966779852822805,0.0063007565852658785,0.18318437823236536,160.72912472451074,1
0.2070632592652612,0.07938428631893643,0.007104911057173962,0.18193071929968815,160.78933296679008,1
0.19278241393857026,0.10178036314400954,0.009522559080274277,0.1834345810428758,161.76411771927974,1
0.2014773799800747,0.020282066012334232,0.006102735383886981,0.18894082342838223,164.5740248232765,1
0.17286235200906652,0.1345455391172075,0.005461490240933326,0.17813713076889423,163.99429386936666,1
0.19597483225099221,0.10442719200711847,0.007612029448792237,0.17932812284518496,163.25692065859008,1
0.2086744156919386,0.05267734536308716,0.004596425763062838,0.18146861400491457,164.42844002649466,1
0.21759260060850014,0.08139435554562086,0.0066172830480116145,0.1838659202750654,164.1591337585478,1
0.15035509522091778,0.03675857107754374,0.00604813393798725,0.19247484483582544,163.11269982591543,1
0.1678116809330149,0.12991856867675297,0.006207428699954871,0.18396792760259842,164.54722891009266,1
0.20721137612823937,0.056412129256139754,0.00441662156165591,0.1787092576249637,161.66321325824106,1
0.2022712443300424,0.1187287837705813,0.005705146056388984,0.18331564694858626,161.92875327370882,1
0.2075297193526086,0.04816104480151484,0.003989023519410625,0.18147632695299798,160.57068329270294,1
0.209229137164339,0.061644286164779044,0.004793197774205264,0.18047906555381457,160.17100040459226,1
0.18457792272996237,0.003668698294257061,0.006097483844912869,0.18757999818138796,159.66978170360596,1
0.19351504895872867,0.07788752757642642,0.00743278336124041,0.18477768032219474,159.45094807205393,1
0.19028466314804798,0.03258441934152029,0.0056078086295002555,0.1893994444013558,160.72828644024915,1
0.1449456496471827,0.010173880515905481,0.006386811091504715,0.19373606885297914,162.1422868453681,1
0.2196737869569108,0.04805377780434125,0.002912316824312945,0.18376011811966186,161.37970127185403,1
0.20228681378838664,0.05715568133606752,0.006586259504546252,0.1868051185398202,161.0005223533517,1
0.1888781420419719,0.020575857638169964,0.003236922851396877,0.19570175066275722,154.95059956210457,1
0.20754701391067898,0.03668939787044409,0.00334060661963778,0.19148266583367435,156.102920598872,1
0.2176902408756252,0.0458897284200494,0.00318158132655097,0.1921966668849754,155.72254411610467,1
0.21671579200995822,0.010643652282849775,0.0036751863675910552,0.1916149740733403,154.9397844925695,1
0.21503716869076495,0.0010579804903233514,0.0035328537271468383,0.1905231916231909,155.34902978068484,1
0.1629445177908305,0.08890297211181414,0.004787188009960039,0.19279976338702456,158.09580542088716,1
0.18436880836760414,0.007510548140583162,0.004684488771005745,0.18712448005624058,157.51575473886467,1
0.042168766589359585,0.041855303205896865,0.007948979347083432,0.22340704867633412,159.7994150951274,1
0.2157760781113413,0.08043221424303582,0.0027495809567734306,0.22110098280196078,158.17642873878668,1
0.18531260156185936,0.10900111981951696,0.0025341919004489392,0.2056604789460451,160.6956461303098,1
0.21982924391520717,0.04092663369415234,0.005314068509745282,0.2016762229990613,160.98168374200472,1
0.17577970275444427,0.009587824233234815,0.003243896426442618,0.20280077689653833,160.43460882752228,1
0.13304207102059465,0.004698478594738542,0.004791375465380505,0.19447027456381344,164.32593015766014,1
0.21649376207543966,0.05846403393131133,0.004598422603362529,0.1836936724796172,163.84099548648246,1
0.15539849387191865,0.030042086669797907,0.005503998585540146,0.1905660616681365,165.5591912077032,1
0.18309171912358543,0.02638606093642648,0.00190182259086135,0.17792406892708276,162.78278441649965,1
0.20170681091418863,0.029828008477661205,0.0038796817090410015,0.19188372554145083,161.43491044580415,1
0.21285508959664237,0.017134163319844298,0.0018293062754769064,0.18657083421780757,159.98362522176726,1
0.19227075683781958,0.07352686858749544,0.004920041971970546,0.1880672874193068,161.59623232157898,1
